userid,address,assigned coach,assigned meal plan,birth date,physical problems,default meal plan,email,first name,last name,planid,product,phone number,coach notes about physical problems,daily activity level,days available to workout,current workout days,weight,user device,allergen tags,meal goals,gender,current weight,height,weight goal,dietary restrictions
user_75,"6892 Murray Common, Heatherborough, OR 01464",Coach Alice,Low Carb,1992-11-17,Chronic fatigue,Balanced,stacy42@hunter-wilson.com,Rebecca,Knight,plan_4,Weight Gain,248-850-8116x3195,Muscle tightness,Low,"Monday, Thursday, Tuesday, Saturday, Sunday",1,81.8,iPhone,Lactose,Maintain Weight,Female,81.8,162.5,90.6,Vegetarian
user_76,"13803 Michael Grove, Matthewton, FL 26957",Coach Alice,Low Carb,1983-07-06,Chronic fatigue,Balanced,karen36@gmail.com,Kelly,Jackson,plan_9,Cardio Booster,955.025.8970x4948,Sciatica,Low,"Saturday, Thursday, Wednesday, Monday",4,61.1,iPhone,Soy,Lose Fat,Female,61.1,160.4,70.5,Pescatarian
user_77,"14443 Jones Court Suite 964, Richardsonfort, MS 65877",Coach Diana,Vegan,1977-12-02,Plantar fasciitis,High Protein,jeffreyrodgers@yahoo.com,Zachary,Lopez,plan_8,Weight Loss,+1-856-521-5085x244,Tennis elbow,Low,"Sunday, Wednesday, Saturday",3,54.4,Apple Watch,None,Maintain Weight,Male,54.4,164.5,39.7,Vegetarian
user_78,"44499 Martinez Harbor Apt. 579, Russellfort, AL 79902",Coach Alice,Vegan,1972-10-24,Sciatica,Keto,sgonzalez@cohen.com,Vanessa,Kennedy,plan_9,Healthy Living,+1-948-144-6305x0656,Hamstring strain,High,"Monday, Friday, Tuesday",3,78.6,Fitbit,None,Improve Stamina,Female,78.6,154.9,85.4,None
user_79,"434 Jeffrey View, South Alyssa, DC 70957",Coach Bob,Balanced,1980-05-25,Shoulder impingement,Vegan,luis09@hotmail.com,Crystal,Taylor,plan_6,Weight Gain,001-516-843-1011x010,Rotator cuff tear,High,"Thursday, Tuesday, Friday",6,71.3,iPhone,Peanuts,Build Muscle,Female,71.3,178.5,79.4,None
user_80,"201 Kendra Wells Suite 980, Brownton, OH 24689",Coach Alice,Vegan,1996-01-24,Knee injury,Keto,tonycollins@yahoo.com,Elizabeth,Flores,plan_4,Cardio Booster,001-221-857-9982x2052,Knee injury,Moderate,"Friday, Wednesday, Monday, Tuesday, Saturday",0,105.7,Fitbit,Soy,Maintain Weight,Female,105.7,159.3,115.1,Pescatarian
user_81,"PSC 9786, Box 1803, APO AE 37936",Coach Charlie,Low Carb,2002-06-25,IT band syndrome,Keto,david86@yahoo.com,Julia,Wall,plan_8,Weight Loss,001-938-738-7147x63289,Neck pain,High,"Monday, Thursday, Friday, Sunday, Tuesday, Wednesday",0,58.5,Android,Peanuts,Lose Fat,Female,58.5,150.2,46.4,Vegan
user_82,"08411 John Lodge, Port Emily, LA 80919",Coach Alice,Vegan,1991-03-11,Carpal tunnel syndrome,Low Carb,bflores@hall-morgan.com,Kristina,Lopez,plan_6,Healthy Living,(593)660-7217x05006,Arthritis in joints,Moderate,"Tuesday, Wednesday, Monday",6,118.1,iPhone,Soy,Maintain Weight,Female,118.1,165.9,127.1,Pescatarian
user_83,"72819 David Row Apt. 980, Kennedychester, ID 57079",Coach Bob,Keto,1975-11-04,Chronic fatigue,Low Carb,nicholsonpatricia@martin.com,Cathy,Schneider,plan_4,Weight Gain,6742607887,Shoulder impingement,Moderate,"Monday, Thursday, Friday, Saturday",3,87.9,Android,Peanuts,Lose Fat,Female,87.9,178.1,95.9,Pescatarian
user_84,"17565 William Alley Apt. 604, Lisatown, AL 28238",Coach Charlie,Vegan,2006-08-07,IT band syndrome,High Protein,jennifer51@sims.com,Stephanie,Brown,plan_8,Cardio Booster,583-158-6698x006,Carpal tunnel syndrome,Low,"Tuesday, Friday, Thursday, Wednesday",3,60.4,Android,Peanuts,Build Muscle,Female,60.4,153.1,68.3,Vegetarian
user_85,"2512 Christopher Brooks Apt. 059, Terryfort, WI 45346",Coach Alice,Balanced,2003-02-28,IT band syndrome,Keto,iroth@walters.biz,Stacy,Schmidt,plan_10,Weight Loss,513-235-7877,Hamstring strain,Moderate,"Wednesday, Friday, Tuesday, Thursday, Saturday, Sunday",0,99.4,Fitbit,Peanuts,Improve Stamina,Female,99.4,173.3,85.4,Vegan
user_86,"595 Kenneth Stream, Sosaside, WY 20802",Coach Alice,High Protein,1967-07-06,Lower back pain,Low Carb,amber73@hotmail.com,Michelle,Parker,plan_2,Healthy Living,899.271.0629x5535,IT band syndrome,Low,"Thursday, Saturday, Wednesday, Tuesday",2,61.9,Android,Soy,Improve Stamina,Female,61.9,154.1,67.2,None
user_87,"4580 Arnold Extensions Suite 551, West Erikaview, ID 10346",Coach Bob,Balanced,1975-07-23,Knee pain,Balanced,jessica60@yahoo.com,Virginia,Mejia,plan_3,Weight Gain,001-260-864-5295x64630,Knee injury,Low,"Saturday, Wednesday, Sunday, Monday, Tuesday",5,87.8,Android,Lactose,Lose Fat,Female,87.8,151.9,95.3,None
user_88,"9871 Dakota Springs, Gentryburgh, WV 27196",Coach Charlie,Vegan,1967-01-12,Tennis elbow,Vegan,heatherellis@phillips.com,Rebecca,Oconnor,plan_2,Cardio Booster,175.308.8941,Hip bursitis,Low,"Monday, Wednesday, Friday, Tuesday, Saturday",5,117.1,iPhone,None,Lose Fat,Female,117.1,171.5,125.7,Pescatarian
user_89,"036 Robert Lodge, Perezberg, SD 11506",Coach Diana,Low Carb,1978-04-15,Carpal tunnel syndrome,Keto,katherinenorman@gmail.com,Greg,Campbell,plan_5,Weight Loss,(809)264-1196,Knee pain,Low,"Sunday, Saturday, Friday, Monday",3,59.3,iPhone,Lactose,Build Muscle,Male,59.3,176.4,49.8,Pescatarian
user_90,"1282 Cristina Ville, Anthonyport, TX 78262",Coach Alice,Vegan,1990-07-23,IT band syndrome,Keto,goodwinnatasha@gmail.com,Lauren,Nichols,plan_5,Healthy Living,4683439162,Muscle tightness,High,"Tuesday, Friday, Saturday, Wednesday, Sunday",5,65.5,Fitbit,Soy,Improve Stamina,Female,65.5,150.3,71.9,Pescatarian
user_91,"402 Koch Summit Suite 871, Solomonhaven, MA 75719",Coach Bob,Keto,1975-08-04,Hamstring strain,Vegan,trevor68@yahoo.com,Paula,Jones,plan_1,Weight Gain,(047)382-2523x375,Rotator cuff tear,High,"Friday, Sunday, Thursday, Monday",3,79.7,Apple Watch,Peanuts,Maintain Weight,Female,79.7,170.3,87.5,Pescatarian
user_92,"30406 Martinez Junction, Rachelton, AL 43970",Coach Charlie,Low Carb,2003-09-18,Neck pain,Low Carb,juliakeller@yahoo.com,Gabriela,Lewis,plan_3,Cardio Booster,761-277-7116,Hamstring strain,High,"Sunday, Thursday, Monday, Wednesday, Friday, Tuesday",4,108.6,iPhone,Soy,Improve Stamina,Female,108.6,150.6,113.8,None
user_93,"4155 Anthony Isle, Gonzalezfort, TN 81041",Coach Charlie,High Protein,1966-02-02,Shoulder impingement,Vegan,emilybrown@lynn.net,Natasha,Doyle,plan_5,Weight Loss,632.948.2152x338,Tennis elbow,Low,"Wednesday, Monday, Thursday",1,73.1,Apple Watch,Soy,Improve Stamina,Female,73.1,166.0,62.5,Pescatarian
user_94,"405 Keith Point, Mauricehaven, NM 31137",Coach Diana,Low Carb,1976-04-26,Hamstring strain,Vegan,katherine71@sherman.com,Valerie,Davis,plan_1,Healthy Living,(467)426-4564x63500,Knee pain,Moderate,"Tuesday, Monday, Wednesday",6,63.6,Android,Soy,Lose Fat,Female,63.6,175.7,71.9,Vegetarian
user_95,"9279 Lewis Road Apt. 834, Wilsonborough, WI 17711",Coach Bob,Vegan,1985-01-02,Chronic fatigue,Balanced,osbornewilliam@hotmail.com,Dorothy,Tanner,plan_7,Weight Gain,001-176-695-8592x637,Carpal tunnel syndrome,High,"Monday, Friday, Saturday, Wednesday, Sunday",4,89.9,Garmin,Peanuts,Maintain Weight,Female,89.9,166.5,98.8,Vegan
user_96,"758 Alexis Vista, Rachelbury, GA 62669",Coach Alice,Balanced,1977-08-22,Achilles tendonitis,Low Carb,hudsonadam@harris.com,Trevor,Cooper,plan_3,Cardio Booster,692.817.5244x3892,IT band syndrome,Moderate,"Wednesday, Tuesday, Saturday, Thursday",5,98.2,iPhone,Peanuts,Build Muscle,Male,98.2,150.0,104.5,None
user_97,"61616 Brennan Grove Suite 996, Andersonbury, IN 54198",Coach Alice,High Protein,1971-10-13,Plantar fasciitis,Low Carb,vpalmer@joseph-powell.net,Jasmine,Hardy,plan_10,Weight Loss,704.105.7763x662,Tennis elbow,Moderate,"Monday, Saturday, Friday, Tuesday, Wednesday, Sunday",2,61.8,Apple Watch,None,Lose Fat,Female,61.8,172.3,49.7,Pescatarian
user_98,"2559 Anderson Glens, South Elizabethview, ME 51585",Coach Alice,Vegan,1983-03-19,Sciatica,Vegan,qnewman@yahoo.com,Lauren,Jones,plan_4,Healthy Living,820.964.8780x6778,Shin splints,Low,"Thursday, Monday, Friday, Tuesday, Wednesday, Sunday",1,71.3,Android,None,Lose Fat,Female,71.3,179.8,77.1,Vegan
user_99,"4820 Gardner Plains Suite 599, Lake Erica, SC 54813",Coach Charlie,Vegan,1995-11-16,IT band syndrome,High Protein,tsmith@martinez-mitchell.net,Carla,Palmer,plan_9,Weight Gain,203-972-0850,Ankle sprain,Low,"Monday, Saturday, Sunday, Tuesday",3,96.4,Apple Watch,Peanuts,Improve Stamina,Female,96.4,168.1,101.7,Vegan
user_100,"384 Figueroa Rapids, Bergbury, MT 96249",Coach Diana,High Protein,1978-11-12,Sciatica,Balanced,jeffreyray@gmail.com,Angela,Lopez,plan_9,Cardio Booster,145.992.4091x61854,IT band syndrome,High,"Wednesday, Monday, Sunday, Friday, Thursday, Saturday",6,97.0,Android,None,Improve Stamina,Female,97.0,159.8,105.3,None
